start time; end time; label; tags
20-01-2015 02:00:00;20-01-2015 11:00:00;SLEEPING;
20-01-2015 13:00:00;20-01-2015 14:40:00;JOB;
20-01-2015 14:30:41;20-01-2015 19:11:58;JOB;
20-01-2015 19:11:58;20-01-2015 19:45:31;TRANSITION;
20-01-2015 19:45:31;21-01-2015 00:00:00;LEARNING;
21-01-2015 00:00:00;21-01-2015 11:34:31;SLEEPING;
21-01-2015 11:34:31;21-01-2015 11:40:18;TRANSITION;
21-01-2015 11:40:18;21-01-2015 11:45:13;TRANSITION;
21-01-2015 11:45:13;21-01-2015 11:49:26;TRANSITION;
21-01-2015 11:49:26;21-01-2015 11:57:28;TRANSITION;
21-01-2015 11:57:28;21-01-2015 12:01:39;TRANSITION;
21-01-2015 12:01:39;21-01-2015 12:05:03;TRANSITION;
21-01-2015 12:05:03;21-01-2015 12:05:47;TRANSITION;
21-01-2015 12:05:47;21-01-2015 12:15:34;TRANSITION;
21-01-2015 12:15:34;21-01-2015 12:20:02;TRANSITION;
21-01-2015 12:20:02;21-01-2015 12:38:33;TRANSITION;
21-01-2015 12:38:33;21-01-2015 12:42:04;TRANSITION;
21-01-2015 12:42:04;21-01-2015 12:47:34;TRANSITION;
21-01-2015 12:47:34;21-01-2015 12:55:22;TRANSITION;
21-01-2015 12:55:22;21-01-2015 14:12:46;LECTURE;
21-01-2015 14:12:46;21-01-2015 14:25:05;TRANSITION;
21-01-2015 14:25:05;21-01-2015 14:47:52;JOB;
21-01-2015 14:47:52;21-01-2015 18:57:48;JOB;
21-01-2015 18:57:48;21-01-2015 20:12:31;JOB;
21-01-2015 20:12:31;22-01-2015 00:00:00;JOB;
22-01-2015 00:00:00;22-01-2015 12:30:19;LEARNING;
22-01-2015 12:30:19;22-01-2015 12:30:30;SLEEPING;
22-01-2015 12:30:30;22-01-2015 16:08:20;SLEEPING;
22-01-2015 16:08:20;22-01-2015 16:08:30;LEISURE;
22-01-2015 16:08:30;22-01-2015 16:53:19;LEARNING;
22-01-2015 16:53:19;22-01-2015 16:53:30;LEISURE;
22-01-2015 16:53:30;23-01-2015 00:00:00;LEARNING;
23-01-2015 00:00:00;23-01-2015 14:54:40;LEARNING;
23-01-2015 14:54:40;23-01-2015 15:04:55;TRANSITION;
23-01-2015 15:04:55;23-01-2015 15:09:57;TRANSITION;
23-01-2015 15:09:57;23-01-2015 15:24:59;TRANSITION;
23-01-2015 15:24:59;23-01-2015 16:26:59;JOB;
23-01-2015 16:26:59;23-01-2015 16:27:10;JOB;
23-01-2015 16:27:10;23-01-2015 16:36:38;JOB;
23-01-2015 16:36:38;23-01-2015 17:02:18;JOB;
23-01-2015 17:02:18;23-01-2015 17:52:18;JOB;
23-01-2015 17:52:18;23-01-2015 17:52:28;TRANSITION;
23-01-2015 17:52:28;23-01-2015 19:29:43;TRANSITION;
23-01-2015 19:29:43;23-01-2015 21:32:48;MEETING;
23-01-2015 21:32:48;23-01-2015 21:50:06;TRANSITION;
23-01-2015 21:50:06;23-01-2015 22:30:15;TRANSITION;
23-01-2015 22:30:15;23-01-2015 22:37:18;TRANSITION;
23-01-2015 22:37:18;23-01-2015 22:37:28;TRANSITION;
23-01-2015 22:37:28;24-01-2015 00:00:00;SLEEPING;
24-01-2015 00:00:00;24-01-2015 04:50:47;JOB;
24-01-2015 04:50:47;24-01-2015 04:50:57;JOB;
24-01-2015 04:50:57;24-01-2015 19:02:30;SLEEPING;
24-01-2015 19:02:30;24-01-2015 19:09:47;LEISURE;
24-01-2015 19:09:47;24-01-2015 19:18:26;LECTURE;
24-01-2015 19:18:26;24-01-2015 19:18:42;TRANSITION;
24-01-2015 19:18:42;24-01-2015 19:37:33;LEARNING;
24-01-2015 19:37:33;24-01-2015 19:48:17;TRANSITION;
24-01-2015 19:48:17;24-01-2015 22:14:17;LEARNING;
24-01-2015 22:14:17;24-01-2015 22:14:27;TRANSITION;
24-01-2015 22:14:27;25-01-2015 00:00:00;LEARNING;
25-01-2015 00:00:00;26-01-2015 00:00:00;TRANSITION;
26-01-2015 00:00:00;26-01-2015 16:22:03;LEARNING;
26-01-2015 16:22:03;26-01-2015 16:22:13;TRANSITION;
26-01-2015 16:22:13;26-01-2015 19:29:43;JOB;
26-01-2015 19:29:43;26-01-2015 19:51:57;TRANSITION;
26-01-2015 19:51:57;26-01-2015 22:12:35;SLEEPING;
26-01-2015 22:12:35;26-01-2015 22:12:45;TRANSITION;
26-01-2015 22:12:45;27-01-2015 00:00:00;SLEEPING;
27-01-2015 00:00:00;27-01-2015 18:40:54;LECTURE;
27-01-2015 18:40:54;27-01-2015 19:15:31;TRANSITION;
27-01-2015 19:15:31;28-01-2015 00:00:00;LECTURE;
28-01-2015 00:00:00;29-01-2015 00:00:00;LEISURE;
29-01-2015 00:00:00;30-01-2015 00:00:00;LEARNING;
30-01-2015 00:00:00;30-01-2015 16:34:31;LECTURE;
30-01-2015 16:34:31;30-01-2015 16:42:22;TRANSITION;
30-01-2015 16:42:22;30-01-2015 17:00:00;TRANSITION;
30-01-2015 17:00:00;30-01-2015 17:00:10;TRANSITION;
30-01-2015 17:00:10;30-01-2015 22:14:07;JOB;
30-01-2015 22:14:07;30-01-2015 22:41:08;TRANSITION;
30-01-2015 22:41:08;31-01-2015 00:00:00;LEISURE;
31-01-2015 00:00:00;01-02-2015 00:00:00;SLEEPING;
01-02-2015 00:00:00;02-02-2015 00:00:00;LEARNING;
02-02-2015 00:00:00;03-02-2015 00:00:00;LEARNING;
03-02-2015 00:00:00;03-02-2015 09:54:37;LECTURE;Home
03-02-2015 09:54:37;03-02-2015 10:00:51;TRANSITION;
03-02-2015 10:00:51;03-02-2015 11:04:37;LEISURE;Gym
03-02-2015 11:04:37;03-02-2015 11:22:53;TRANSITION;
03-02-2015 11:22:53;03-02-2015 12:50:21;LECTURE;Home
03-02-2015 12:50:21;03-02-2015 13:12:35;TRANSITION;
03-02-2015 13:12:35;03-02-2015 19:42:44;JOB;
03-02-2015 19:42:44;03-02-2015 19:46:17;TRANSITION;
03-02-2015 19:49:18;03-02-2015 20:11:55;TRANSITION;
03-02-2015 20:11:55;04-02-2015 00:00:00;SLEEPING;
04-02-2015 00:00:00;05-02-2015 00:00:00;LEISURE;
05-02-2015 00:00:00;06-02-2015 00:00:00;LECTURE;
06-02-2015 00:00:00;08-02-2015 00:00:00;SLEEPING;
08-02-2015 00:00:00;09-02-2015 00:00:00;LECTURE;
09-02-2015 00:00:00;10-02-2015 00:00:00;LEISURE;
10-02-2015 00:00:00;11-02-2015 00:00:00;LECTURE;
11-02-2015 00:00:00;11-02-2015 11:57:17;TRANSITION;
11-02-2015 11:57:17;11-02-2015 12:18:35;TRANSITION;
11-02-2015 12:18:35;11-02-2015 18:20:52;JOB;
11-02-2015 18:20:52;11-02-2015 18:42:54;TRANSITION;
11-02-2015 18:42:54;11-02-2015 19:05:08;TRANSITION;
11-02-2015 19:05:08;11-02-2015 19:05:52;TRANSITION;
11-02-2015 19:05:52;11-02-2015 19:09:26;TRANSITION;
11-02-2015 19:09:26;11-02-2015 19:12:21;TRANSITION;
11-02-2015 19:12:21;11-02-2015 19:50:41;TRANSITION;
11-02-2015 19:50:41;11-02-2015 19:59:36;TRANSITION;
11-02-2015 19:59:36;12-02-2015 00:00:00;LEISURE;
12-02-2015 00:00:00;12-02-2015 14:41:34;LEISURE;
12-02-2015 14:41:34;12-02-2015 15:01:05;TRANSITION;
12-02-2015 15:01:05;12-02-2015 22:45:27;JOB;
12-02-2015 22:45:27;12-02-2015 23:29:23;TRANSITION;
12-02-2015 23:29:23;13-02-2015 00:00:00;LEISURE;
13-02-2015 00:00:00;14-02-2015 00:00:00;LEISURE;
14-02-2015 00:00:00;15-02-2015 00:00:00;LEARNING;

